0001—二三四五六七八九 答案：缺衣少食 
0718—什么东西载得动一百捆干草却托不起一粒沙子，日夜奔跑却离不开自己的卧床？ 答案：河流 
0719—一只母羊和一只小羊正在吃草，来了一只老狼把母羊给叼走了，小羊也乖乖地跟走了，请问怎么回事 答案：一只怀了小羊的母羊 
0720—我国文化源远流长，唐代有诗，宋代有词，元代有曲，明代有小说，那么现在有什么？ 答案：参考书 
0721—既认识自然又能随便改造自然的人是谁？ 答案：画家 
0722—蝎子和螃蟹玩猜拳，为什么它们猜了两天，还是分不出胜负呢？ 答案：他们只会出剪子 
0723—曼谷市正处于雨季。某天半夜12点钟，下了一场大雨。问：过72小时，当地会不会出太阳？ 答案：72小时以后还是半夜12点不会出现太阳 
0724—自己的缺点令自己讨厌是在什么时候？ 答案：在别人身上看到时 
0725—如果你丰收不起自己的某个朋友有什么优点时，能说明你什么呢？ 答案：交错了朋友 
0726—善有善报，恶有恶报是什么意思？ 答案：什么报纸都没有 
0727—世界脖子最短的长颈鹿生长在什么地方 答案：考场里 
0728—在著名的中国古典文学“红楼梦”中，多愁善感的林黛玉为什么要葬花 答案：反正闲着也是闲着 
0729—女人是本书，那么男人首先想翻的是哪一页？ 答案：版权页 
0730—人行走的时候，左右脚有什么不同 答案：一前一后 
0731—一头牛加一捆草等于什么？ 答案：还是一头牛 
0732—你的阿姨有个姐姐，但你不叫她阿姨，她是谁？ 答案：妈妈 
0733—第一个登上月球的中国姑娘是谁？ 答案：嫦娥 
0734—张丽参加百人呼啦圈赛，一直坚持到了最后一刻，却被取消了冠军资格。为什么？ 答案：太胖了卡在腰上了 
0735—胆小鬼吃什么可以壮胆？ 答案：狗胆,狗胆包天 
0736—什么食品东、南、西、北都出产？ 答案：瓜 
0737—龙的儿子与狗的儿子有什么差别？ 答案：一为龙子一为犬 
0738—有两个句子：OO是，OO不是，OO代表两个字，代表三个字，两句中的OO与分别相等，如果两个句子同时成立，那该填上什么字？ 答案：此句是六个字,此句不是六个字 
0739—时钟什么时候不会走？ 答案：他本身就不会走 
0740—增长智力最有效的办法是什么？ 答案：吃一欠长一智 
0741—小毛歌唱得不错，为什么老得不了第一？ 答案：别人唱得还好 
0742—两人同时过一条又深又急的河，却只有一独木舟。独木舟一次只能载一个人，没有船夫，不能泅渡，没有桥，怎么过去的？ 答案：他们分别在河的两边 
0743—哪些人觉得老天对自己不公平 答案：瘦子 
0744—谁的脚常年走路不穿鞋 答案：动物的脚 
0745—一个非常有钱的人却什么也不能买,为什么 答案：他在沙漠里 
0746—在百米水池周围栽树，且每株间的差距相等，至多为十五米，为符合这个条件，试问最少栽多少颗？ 答案：两颗 
0747—什么东西长了毛之后就表示成熟了 答案：玉米 
0748—1+1不是2、王、11是什么？ 答案：丰 
0749—只有头却没有身体的牛，叫做什么牛？ 答案：一头牛 
0750—空调从楼上掉下来会变成啥？ 答案：凶器废铁 
0751—世界上最小的邮筒（用一成语形容） 答案：难以置信 
0752—一又七分之一是什么字？ 答案：片 
0753—怎么使麻雀安静下来？ 答案：压它一下(哑雀无声) 
0754—一口咬掉牛尾巴，是什么字？ 答案：告 
0755—什么油不能点燃？ 答案：酱油 
0756—夜夜看落花，打一礼貌用语？ 答案：多谢 
0757—为什么冰山一“角”？ 答案：另一角被泰坦尼克号撞断了 
0758—为什么汉子不出门 答案：出了门就是门外汉了 
0759—什么人靠别人的脑袋生活？ 答案：理发师 
0760—一阴一阳，一短一长，一昼一夜，合为一双。打一字。 答案：明 
0761—视而不见，听而不问？打一字 答案：祈 
0762—一个最小的正整数，除6余5，除5余4，除4余3，除3余2。 答案：59 
0763—谁家没有电话？ 答案：phone 
0764—哪种蛇的寿命最长？ 答案：三寸不烂之舌 
0765—如何分辨狗肉店和猪肉店的不同？ 答案：狗肉店门前会挂羊肉 
0766—什么东西力气在大也扛不起？ 答案：罪名 
0767—人在园中，打一字？ 答案：囚 
0768—木字多一撇不把禾字猜。 答案：移 
0769—把火熄灭最快的方法是？ 答案：火字上加一横 
0770—不相信恋人，打一公安用语语？ 答案：怀疑对象 
0771—不打不相识，打两字称谓 答案：战友 
0772—聪明快捷，打一拉丁美洲国家名？ 答案：智力 
0773—第九次结婚，打一城市名字？ 答案：巴黎 
0774—风平浪静的城市在哪里？ 答案：宁波 
0775—民航机开张，打一成语？ 答案：有机可乘 
0776—加减乘除少一点？什么字？ 答案：坟 
0777—美好的开端？打一字 答案：姜 
0778—木兰之子，打一食物名称？ 答案：花生米 
0779—什么线看得见,抓不着 答案：光线 
0780—老太太没牙怎样喝稀粥 答案：不用牙 
0781—三个鸡蛋,要放在两只盘子,一只盘子必须放一个怎么放 答案：一只盘子放两个 
0782—从来没见过的爷爷他是什么爷爷 答案：老天爷 
0783—大熊猫一生中的最大遗憾是什么？ 答案：没有彩色照片 
0784—三心二意的人是什么人？ 答案：多心的人因为那个有三个心 
0785—一只毛毛虫（八只脚）走上一堆牛粪，下地以后却发现只有六只脚印，为什么？ 答案：猴群体操 
0786—一只毛毛虫（八只脚）走上一堆牛粪，下地以后却发现只有六只脚印，为什么？ 答案：牛粪很臭两只脚捏住了鼻子 
0787—一个人,一只船,一只狗,一只兔子,一棵白菜,着个人要把着三样东西,运到河那边,先送那两个？ 答案：先送狗和白菜 
0788—拿破仑踏上新大陆第一步后做的事情是什么 答案：迈二第步 
0789—一架高空飞行的客机在航行中,小王突然打开门冲出去,为什么他没摔死 答案：他是从飞机的厕所冲 
0790—什么东西能逛变世界 答案：风 
0791—请问大家，人能活到什么时候 答案：当然活到死的时候 
0792—一个人左右手各拿着一个碗，同时摔下去，一个摔破了，一个没摔破，为什么。 答案：因为一个是铁的一个是瓷的 
0793—于宙飞船须密行？ 答案：天机不可泄露 
0794—小芬对小芳说：“后天的大前天的后天，也就是昨天的昨天的大后天是我的生日，请来参加我的生日会。”小芳应该什么时候赴约呢？ 答案：明天 
0795—一个数去掉首位是13,去掉末位是40请问这个数是几 答案：四十三 
0796—一个人把窗户关了，为什么等他在回来时窗户却开了？ 答案：因为他女朋友帮他开窗户了 
0797—一块黑石子与一块白石子同时放入水中,有什么变化。 答案：变湿了 
0798—黑人吃黑的东西叫什么？？ 答案：黑吃黑 
0799—怎样用一块钱换一百块钱？？ 答案：打电话向家里要钱 
0800—喝什么东西可以让人变成鬼 答案：酒酒鬼 
0801—欧美人就餐头一道菜是汤，你知道汤里经常会有什么吗？ 答案：盐 
0802—一个小姑娘再打排球，她发了一个球，可无论谁都接不着，为什麽？ 答案：球没发出去或出界了 
0803—三加三得几(打一字)？ 答案：田 
0804—哪一种人占用地球表面积最小 答案：芭蕾舞演员 
0805—什么时候一加五等于十 答案：算盘运算 
0806—什么东西天上有，人间也有。 答案：太阳 
0807—最多人看不清楚的花是甚麽花呢 答案：眼花 
0808—两个胖子拥抱[打一城市] 答案：合肥 
0809—谁最喜欢添油加醋？？ 答案：厨师 
0810—一条凶猛的眼镜蛇，在一个森林里它为什么不吃人。 答案：因为森林里没有人 
0811—为什么现代女性都喜欢用沐浴露,而不喜欢用肥皂 答案：怕越洗越脏 
0812—晶晶洗澡时，每次都有从洗澡水里拿东西往嘴里塞的习惯，而且奇怪的是，她还不断称赞好吃。请问她在吃什么？ 答案：澡和枣同音 
0813—什么样的房子不能住人？？ 答案：蜂房 
0814—聪明人比一般人多了个什么？ 答案：心眼 
0815—什么时候我们会心甘情愿的熄灭自己的生命之火 答案：切生日蛋糕以后 
0816—身子里面空空洞洞而却拥有一双手的是什么麼 答案：手套 
0817—当医生说你的病没希望时该怎么办 答案：换一位医生 
0818—把一头猪涂满银光粉牵到舞台上是什么？ 答案：诸葛亮(猪皮革亮) 
0819—面首暴乱(历史事件) 答案：南昌起义 
0820—两只猫头鹰在聊天,其中一只说它可以在白天出门而不用戴墨镜,为什么 答案：那是一只瞎眼猫头鹰 
0821—除了变色龙以外,什么动物最擅长伪装术 答案：人 
0822—什么样的关系才称得上是生死之交 答案：人鬼联姻 
0823—小丽问小明：“你知道世界上什么篮是漏的，但却是有用的吗？” 答案：篮球的篮 
0824—如果说儿童是国家未来的栋梁，那么儿童肚子里的蛔虫是什么？ 答案：当然栋梁的蛀虫了 
0825—你知道世界上什么东西既不怕晒也不怕湿吗？ 答案：影子 
0826—下雨天三个人在街上冒雨走，为什么只淋湿了一个人的。 答案：一个怀着双宝孕的妇人 
0827—姑妈送给小花一只小猫，这只小猫没有死掉，也没有跑掉，小花也没有把它送人，为什么三个月后姑妈来小花家在没有看见小猫？ 答案：它已长成大猫了 
0828—酒喝多了伤人,不喝呢 答案：伤心 
0829—世界上什么东西最宝贵 答案：时间 
0830—雨天什么伞不能打 答案：降落伞 
0831—什么动物即没有祖先又没有子孙 答案：骡子 
0832—地球没有水时像什么 答案：核桃 
0833—谁成天乐得合不拢嘴 答案：弥勒佛 
0834—李红每次赛跑都是倒数第一,这次却是正数第一,为什么 答案：只她一人 
0835—为什么兰兰总喜欢旧东西 答案：因为他是一个古董收藏家 
0836—债权和债务的最大区别是什么 答案：一个容易记住一个最不容易记住 
0837—什么飞机常常没有明确的目的地 答案：纸飞机 
0838—地球上哪一部分绝对照不到太阳 答案：任何地方都照不到太阳因为地球不发光 
0839—看书最怕的是什么 答案：中间被人弄去几页 
0840—请解释擒贼先擒王。 答案：丢了东西先驱找姓王的 
0841—你知道不可救药的成语是如何产生的吗 答案：当药店发生火灾时只能先救人再救药 
0842—地球上什么地方温度最高 答案：地球的中心 
0843—街上那么多的人是从哪来的 答案：各自的家中 
0844—人到世界上看见的第一个人是谁 答案：接生的人 
0845—喝牛奶时用哪只手搅拌会比较卫生 答案：用那只手都不卫生还是用勺子好. 
0846—一个最贪玩的小孩最喜欢什么课 答案：下课 
0847—什么东西从屁股里排出后还可以当食物 答案：鸡蛋 
0848—为什么热恋的人喜欢在较黑的地方谈恋爱 答案：因为爱情是盲目的 
0849—为什么有的果树生长十几年也不接一个苹果 答案：那不是一颗苹果树 
0850—人在什么时候记忆力最好 答案：当别人欠自己钱的时候 
0851—鸡鹅赛跑,鸡比鹅跑得快,为什么鹅先到终点 答案：鸡跑反了方向 
0852—鲁智深倒拔垂杨柳后说的第一句话是什么话 答案：中国话 
0853—小王和小张两家50M,两家又没有电话,小王想找小张又不想出门,怎么办 答案：小王可以喊小张 
0854—小平平时嘴闭不住,为什么现在一声不吭 答案：小平睡着了 
0855—亮亮语文和数学共考了200分,结果静静得了第一,为什么 答案：他们不在同一个班 
0856—一个鸭梨,咬哪一部分最甜 答案：随便咬的第一口最甜 
0857—小明家很富裕,可他想买玩具时却从不向母亲要一分钱,为什么 答案：他向他爸爸要钱一分钱也买不到什么玩具 
0858—什么虎吓人但不吃人 答案：壁虎 
0859—永远不能做饭的锅是什么锅 答案：罗锅 
0860—小明睡觉的时候,妈妈最怕什么 答案：小明尿床 
0861—什么人永远无忧无虑 答案：死了的人. 
0862—你每天做作业时先干什么 答案：打开本子. 
0863—一个人在太阳下走路却看不见自己的影子,为什么 答案：因为他撑了一把伞 
0864—世界上哪儿的大象最小 答案：书上的 
0865—小明可以让地球停止或倒转,可能吗 答案：可能是个玩具地球 
0866—为什么妈妈几个月都不给孩子吃饭可孩子仍然长的很好 答案：因为这个孩子还是个胎儿. 
0867—如何防止被狗咬 答案：不要跑在狗的前面. 
0868—谁是世界上最有恒心的画家 答案：爱化妆的女人 
0869—兔子比什么可以绝对赢乌龟 答案：仰卧起做. 
0870—什么时候被骗得高兴 答案：祝你长生不老呀 
0871—如果有一台电脑能替你干一半活,你将怎么办 答案：买两台 
0872—上次汤姆过生日是七岁,下次他过生日是九岁,这是怎么回事 答案：今天他是过八岁生日. 
0873—今天上午只上半天课,学生高兴吧 答案：不高兴下午还有半天课. 
0874—你的狗需要执照吗 答案：不需要他不会开车 
0875—红蜡烛还是绿蜡烛烧得长 答案：都会越烧越短 
0876—你敢在还没干的水泥地上骑车吗 答案：敢沾点儿水怕什么. 
0877—弗兰克林在雷雨中放风筝时说了什么 答案：什么也没有说当时他被电麻了 
0878—什么黑家伙是由光造成的 答案：影子 
0879—什么东西越大越没有用？ 答案：破洞 
0880—什么样的汽车可以随便撞人？ 答案：玩具车 
0881—什么东西有脚却不能走路？ 答案：桌子椅子 
0882—什么东西打破了才能吃？ 答案：鸡蛋 
0883—在哪里理发最好 答案：头上 
0884—在哪里理发最好 答案：头上下班 
0885—什么东西有风不动无风动 答案：扇子 
0886—为什么张华每天上班都要坐飞机 答案：因为他是飞机师 
0887—丁丁拿着块石头向玻璃砸去，玻璃却没碎。为什么？ 答案：没砸到 
0888—在一场足球赛前，你可以准确地告诉我比分吗？ 答案：当然可以0:) 
0889—什么是治疗“口臭”的最佳方案？ 答案：闭嘴 
0890—小星右手的小指受伤了,那么他应该用哪只手写字 答案：右手因为右手不影响写字. 
0891—什么东西象大象一样但毫无重量 答案：大象的影子 
0892—菜单里为啥没有肉 答案：那可太脏了 
0893—什么人的心肠最好？ 答案：身心健康的人 
0894—人为什么要生两只耳朵？ 答案：兼听则明 
0895—人走路时两只脚有什么不同？ 答案：一前一后. 
0896—敲凳子会发出“咚咚”声，那么凳子敲人会发出什么声？ 答案：惨叫声 
0897—什么东西人用完了很快会回来？ 答案：力气 
0898—家都看见地上有张100元的钱，为什么没有捡？ 答案：那是阴币 
0899—什么东西有头无脚？ 答案：砖头. 
0900—什么“光”会给人类带来痛苦？ 答案：耳光. 
0901—小可坐在桌前读书，为什么不开台灯？ 答案：大白天开什么呀 
0902—什么样的鸡蛋永远也孵不出小鸡？ 答案：熟的 
0903—贝儿的妈妈从外地买回一种鱼，无论放多长时间也不会臭。为什么？ 答案：木鱼 
0904—什么人指望腿生活？ 答案：赛跑运动员 
0905—什么球身上长毛？ 答案：羽毛球 
0906—癞蛤蟆怎样才能吃到天鹅肉？ 答案：天鹅死了. 
0907—在情人的脸上发表的处女作是什么？ 答案：初吻. 
0908—怎样才能使人有心跳的感觉？ 答案：活着. 
0909—什么样的人见到阳光就会躲得无影无踪？ 答案：雪人. 
0910—第一次世界大战是在何时发生？ 答案：亚当与夏娃打架的时候. 
0911—为什么杀人要被判刑，杀蟑螂却不用 答案：因为蟑螂没有辨护律师 
0912—旅行时，遇到叉路，一条往诚实国，一条往谎话国，路口有位不知来自何国路人，你要如何问路，才能确定两国的方向？你只需问路人：“你家往哪里走？” 答案：如果是诚实的公民,会指诚实国方向,如果是谎话国公民,? 
0913—身高一米六八公分的小华，有一天去看棒球赛，回来却变成170公分，为什么？ 答案：因为他被棒球击中长出了一个一公分的包. 
0914—传说在古代的地球有十个太阳，但是现在为什么只剩一个？ 答案：因为九个太阳被齐秦拿去写歌了. 
0915—夜黑风高的晚上，小李遇见鬼，为什么鬼反而吓得落荒而逃？ 答案：因为小李遇到的是一个胆小鬼 
0916—什么人没当爸爸就先当公公？？ 答案：太监 
0917—公车来了，一位穿长裙的小姐投了8块钱，司机让她上车，第二位穿迷你裙的小姐投了8块钱，司机也让她上车，第三位小姐没投钱，司机还是让她上车，为什么？ 答案：她用车票 
0918—小施拥有乔丹第一代到第十二代的篮球鞋，请问他最喜欢哪一双？ 答案：下一双 
0919—一棵树绑着一只虎，绳长10公尺，距树公尺处有一堆草，要如何它才能吃到那堆草？ 答案：老虎根本不吃草. 
0920—向日葵会随着太阳而转动，请问阴天的时候会向着哪里？ 答案：向着光头的人 
0921—有三个小孩子正在猜拳，一个出剪刀，一个出石头，一个出布，请问三个小孩子的手指共有几根？ 答案：三十根. 
0922—小朋友在游泳池游泳，游了一阵，大勇数了数，发觉少了一个，忙向老师报告，老师却说没有少，是什么原因呢？ 答案：大勇忘了数上自己. 
0923—世界上有什么东西可以以每小时二千公里的速度载着人向前奔跑，而且不必加油或费用燃料？ 答案：地球 
0924—英国国王为什么是女性 答案：因为英国男人都是绅士讲究女士优先. 
0925—什么叫含笑九泉？ 答案：高兴死了. 
0926—自动捐血和被吸血鬼吸血有什么不同 答案：吸血鬼不会一边吸血一边招待你喝牛奶吃饼干. 
0927—阿平已经死了很久了，为什么他的棺材盖经常会被弄开？ 答案：他从小睡觉就喜欢踢被子. 
0928—为什么现代人出殡时，会国乐和西乐齐鸣？ 答案：谁知道来迎接的是天使还是菩萨 
0929—谁能让全世界的妖魔鬼怪同时抱头鼠窜？？ 答案：太阳"能" 
0930—汤姆写信时，写收信人和寄信人的地址反了，结果信寄回自己家中，不过他不花半毛又把信寄给收信人，为什么？ 答案：他写上查无此人放到邮箱里. 
0931—要如何让一块钱浮在水面上 答案：用美钞就行了 
0932—有一个人舔冰棒，为什么越舔冰棒越大支 答案：因为他在南极舔 
0933—两个穿着相同裙子的女子走在忠孝东路，忽然一阵风吹过，站在旁边的小马看了一眼马上就认出其中一个是大陆妹，另一个是台北姑娘，为什么？ 答案：大陆妹会先折紧裙子台北姑娘会先掩着头发保护发型. 
0934—小偷最怕碰到是哪个机关？ 答案：公安机关. 
0935—有一个富豪想知道他的什么东西最值钱。你知道吗？ 答案：他脑袋. 
0936—演习时，二部同是四吨重的军车在一座便桥前停下，后一部已经抛锚，前一部拖着它的军车驾驶兵，烦恼着要如何才能通过限重五吨的桥？ 答案：用一条比绳长的索牵引,使两部车不同时在桥上就可通过. 
0937—移防到马祖的大兵阿明以女友即将生产为由申请返台，为什么却没有被批准？ 答案：因为马明来到阿祖一超过一年以上,中途不曾返台过. 
0938—在营休假的阿福和阿明，为什么躲在寝室里却搞得流血又流浓的好不畅快？ 答案：相互挤青春痘. 
0939—阿丁做起事来总是拖泥带水，为什么却从没被长官处罚过？ 答案：阿丁盖碉堡的士兵. 
0940—大兵阿雄的祖母坐了一天的车去军营探望他，为什么长官一见到她却气得差点晕倒？ 答案：他昨天请了三天丧假是他外祖母过世. 
0941—虽然只是薄薄的一片，女人少了它一天也活不下去的是东西？？ 答案：镜子. 
0942—最不能在光天化日下见人的是什么东西？ 答案：胶卷 
0943—粲胄苷埔绾尾趴杉娴茫? 答案：养只会抓鱼的熊 
0944—老人梅友并到医院去做检查，结果医生告诉他说要看开一点，请问他得了什么病？ 答案：豆鸡眼. 
0945—蛋要怎么买，才不会买到里面已经孵出了小鸡的蛋？ 答案：买鸭蛋. 
0946—牛頓在苹果树下苹果击中，发现了地心引力；如果你坐在椰子树下，等待被椰子打中，你会发现什么？ 答案：会发现这种行为很愚蠢 
0947—为什么胖的人比瘦的人怕热？ 答案：因为被晒的面积比较大. 
0948—公共厕所（猜一外国首都） 答案：伦顿(轮蹲) 
0949—阿弟竟成功的用面线上吊自杀成功，为什么？ 答案：摔死的. 
0950—这个东东，左看像电灯，右看也像电灯，和电灯没什么两样。但它就是不会亮，这是啥东东呢？ 答案：坏掉的电灯. 
0951—一位卡车司机撞倒一个骑摩托车的人，卡车司机受重伤，摩托车手却没事？ 答案：卡车司机当时没有开车. 
0952—小李喝酒，撞伤了脸，回家怕太太知道会责备，去洗手间对着镜子贴上创口贴，可第二天还是被太太骂了一顿，为什么 答案：创口贴贴在镜子上了. 
0953—一头大象卖10万，两头大象卖多少？ 答案：无数. 
0954—一只已经饥饿以久的狼看见一只绵羊，却马上跑了，为什么？ 答案：因为他跑去追羊. 
0955—小明家的鸽子在小刚家的阳台上下了个蛋，请问这个鸽子是谁的？ 答案：鸽子自己的. 
0956—烟鬼甲每天抽50支烟，烟鬼乙每天抽10支烟。5年后，烟鬼乙抽的烟比烟鬼甲抽的还多，为什么？ 答案：烟鬼甲抽得太多了早死了. 
0957—打什么最省力又舒服？ 答案：瞌睡 
0958—阎罗王嫁女儿，猜三个字？ 答案：鬼才要. 
0959—谁知道到天上有多颗星星？ 答案：天知道. 
0960—人最怕屁股上有什么东西？ 答案：一屁股债. 
0961—刺杀陈水扁的子弹从哪儿来 答案：当然从枪口里出来. 
0962—用哪三个字可以回答一切疑问题 答案：不知道 
0963—拿什么东西不用手？ 答案：拿主意. 
0964—人死后为什么会变得冰凉？ 答案：心静自然凉. 
0965—做什么事要从头来？ 答案：剃头. 
0966—中国人都会写哪种外国字？ 答案：阿拉伯数字. 
0967—将要来却永远来不了的是什么？ 答案：明天 
0968—为什么结婚的人都要先拍结婚照？ 答案：一拍卖即合. 
0969—给一们耳聋的残疾人安装一部铃一响就发光的电话机，但这电话机仍然对他毫无用外，为什么？ 答案：耳聋能听到电话吗? 
0970—某歌星每次上台演出，总是戴着一只手套，这为什么？ 答案：他总想露一手. 
0971—有一个东西，它有3个肚子，21个头，5个背，它是什么？ 答案：怪物 
0972—一个人被一个从三千尺高的东西砸到，为什么没有受伤？ 答案：是雨 
0973—世界上使用的语言很多，那么什么话是世界通用得最多的？ 答案：电话 
0974—有一天，一个植物专家，一个原子弹专家，一个动物专家在一个热气球上。此时，热气球直线下降，必须扔掉一个科学家，请问扔哪一个？ 答案：扔最重的那一个. 
0975—如果你的妈妈、孩子和同学同时落水了，你会先救哪一个？ 答案：离你最近的一个. 
0976—一架飞机起飞没多久就爆炸了，但飞机上没人受伤这是为什么？ 答案：全死了. 
0977—有一个奇怪的问题，不论问任何人，所得的答案一定是“没有”，这个问题是什么？ 答案：你睡着了吗? 
0978—米的外公是谁？ 答案：是爆米花因为抱过米也抱过花. 
0979—米的爸爸是谁？ 答案：米的爸爸是蝶,蝶恋花. 
0980—米的妈妈是谁？ 答案：米的妈妈是花,花生米. 
0981—空中妈妈（打一矿物） 答案：云母. 
0982—草本（打一化合物） 答案：苯 
0983—1一只羊在吃草，一只狼从旁边经过没有吃羊。2又一只狼经过，还是没有吃羊。3第三只狼经过，羊冲狼大叫，狼还是没吃羊。 答案：虾对虾(对瞎)龙虾(聋瞎) 
0984—画家喜欢画粗的绳子不喜欢画细的绳子 答案：出神入画(出绳入画) 
0985—鸡与鸭的对话 答案：鸡同鸭讲. 
0986—怎样让鸭子不会飞走 答案：插一翅膀给他(插翅难飞) 
0987—二姑娘（打一字） 答案：姿 
0988—有种船从来没下过水，为什么还是船？　 答案：宇宙飞船. 
0989—来自海洋地下，炼得洁白无暇；长期为人服务，调味离不开它 答案：食盐 
0990—千锤万凿出深山，烈火焚烧只等闲；粉身碎骨浑不怕，留得清白在人间。 答案：石灰. 
0991—树心有眼，西下美女，手扶下巴，人在尔边，心死相依，言及自己，十件家具，白色勺子，儿女相全，又住一起 答案：想要把你忘记真的好难. 
0992—什么东西越热越爱出来？ 答案：汗. 
0993—一个盛满咖啡的杯子，里面放一枚硬币却没有湿，为什么？ 答案：干咖啡. 
0994—英国出生过大人物吗？ 答案：没有全是婴儿. 
0995—一个不识字的人捂住识字的人的耳朵，让他读自己老婆的来信。他为什么要这样做 答案：怕识字的人听到老婆说什么. 
0996—彼得坐车头晕，他为什么不同靠窗户的人换人位置呢？ 答案：没法换那里没人. 
0997—商店里有一种表比进价还便宜，可商店并没有亏本，钱从哪里来呢？ 答案：从修理费里. 
0998—老师要学生写关于牛奶的文章，要求写200字，为什么沙米尔只写了20个字？ 答案：沙米写的是浓缩牛奶. 
0999—商店标明一支双响枪射程160米，为什么实际射程只有80米呢？ 答案：双响加起来算岂不是正好. 
1000—诗人为什么不像小说家、散文家那样称 答案：诗买不了几个钱成不了家. 
1001—奶奶过马路为什么总是抓紧小孙子的手？ 答案：奶奶胆小. 
1002—大龙家今晚的电视为什么只有图像，没有声音？ 答案：上演的是哑剧. 
1003—爸爸丢了一样东西，为什么妈妈还特别高兴？ 答案：他丢掉了坏习惯. 
1004—哈默为什么会丢钱？ 答案：他带了钱. 
1005—科比有一个月为什么突然吃得少了？ 答案：第二个月. 
1006—科比有一个月为什么突然吃得少了？ 答案：第二个月. 
1007—有一样东西比大力士能举起的重量要轻得多，大力士却举不起，那是什么？ 答案：他自己. 
1008—要怎样做，才能使梦想变成现实？ 答案：睡前开好闹钟. 
1009—有有说杰米写的诗是从书上偷来的，可杰米不承认，他的理由是什么？ 答案：诗还在书上. 
1010—从飞机上掉下的东西打着了人，人却没有受伤，为什么？ 答案：跳伞的人被自己的伞打了. 
1011—小花站起来同饭桌一样高，两年之后，反而在桌子下活动自如，为什么？ 答案：小花是一条狗. 
1012—一个通缉犯跑到美容院，一个美容师给他整了容，但整容后一出门就被警察抓住了 答案：他变成了另一个通缉犯. 
1013—两个人背对背站着，怎么踢到对方膝盖 答案：走到第一个前面踢. 
1014—娇娇的爸爸在一次难度很大的考试中非常从容，为什么？ 答案：他是监考老师. 
1015—什么书必须买两本？ 答案：结婚证. 
1016—上尉为何在训练新兵时让高大的站在前面，矮的站在后面？ 答案：上尉入伍前是个摆水果摊的. 
1017—小明发现房间遭窃,却一点也不紧张,为何 答案：别人的房间. 
1018—爸爸答应汉森，只要考试及格，就奖励10元钱，可为什么汉森还是不及格？ 答案：为了给爸爸省钱. 
1019—三个同学下跳棋，共下了45分钟，问每个同学下了多少时间？ 答案：45分钟 
1020—一辆车子飞速前进，可这辆车的轮子却一点都没有动，怎么回事？ 答案：这辆车是在开动的车上. 
1021—开学后的最大愿望是什么？ 答案：放假. 
1022—萨维在电影院看电影时，为什么每次看的都是不连贯的电影？ 答案：每次都是看一会儿睡一会儿. 
1023—爸爸的手表刚洗过，为什么就不走了？ 答案：儿子用自来水洗的. 
1024—老师给萨姆布置了一篇作文，题目是；什么是懒惰。萨姆用最简短的文字写下了这篇作文，他是怎么写的？ 答案：这就是懒惰. 
1025—米奇吃下了药，但忘了把药摇匀，达不到最佳效果，他该如何补救？ 答案：不停地翻跟头. 
1026—伊凡吹嘘自己写的小说可以得诺贝尔奖，他写的什么小说？ 答案：幻想小说. 
1027—哥哥吹嘘自己有非凡的记忆力，可有一件事他常忘，那是什么事？ 答案：还弟弟的钱. 
1028—琼斯练钢琴，除了妈妈给钱，还有谁给？ 答案：邻居因为他一练琴他们就别想睡. 
1029—尼克的法语不好，他去法国旅游时吃苦头了吗？ 答案：没有吃苦头的是法国人. 
1030—查理为什么说他的家是凑起来的 答案：因为爸爸妈妈和查理分别出生于不同的地方. 
1031—某人认为借书的人从不还书，所以从不借书给人，他这样认为的依据是什么？ 答案：他的藏书就是这样来的. 
1032—让病人出一身大汗的妙方是什么？ 答案：当着病人的面把补药全吃掉. 
1033—汤姆因为把墨水泼在地毯上而挨了骂，可他觉得委屈，为什么？ 答案：墨水不贵呀. 
1034—尼克考了500多分，雅克考了600多分，为什么老师认为他们的成绩不相上下？ 答案：尼克考了6门,雅克考了7门. 
1035—一位先生从单身到结婚,再到生孩子,给乞丐施舍的钱越来越少,乞丐为此大为光火乞丐生气的理由是什么 答案：这不是拿乞丐的钱养活家人吗? 
1036—戴维一家五口外出旅游，说好一人带一瓶饮料可戴维坚持只带4瓶可口可乐，为什么？ 答案：还有一瓶是汽水. 
1037—观音大士为什么要坐在金童玉女的中间而不坐在旁边呢？ 答案：因为他怕他们谈恋爱. 
1038—董存瑞举着炸药包想的是什么？ 答案：希望这是个哑巴炮. 
1039—哪种中药最倒楣？ 答案：人参. 
1040—有一隻凶暴的鱷糇≡诤０渡系珷瓰槭颤N不會咬人？ 答案：无人岛. 
1041—茉莉花太阳花玫瑰花,哪一朵花最没力 答案：茉莉花因为好一朵没力(茉莉花)花 
1042—小明快乐的过生日,卻沒有人帮他庆祝,为什么 答案：在梦中早过了一天. 
1043—有一只老鼠碰到一堆屎,从上面过去了却留下三只脚印问为什么？（注不是三只脚） 答案：用一只脚捏着鼻子呢. 
1044—“个个大！个个大！”母鸡叫什么叫？原来它下蛋了。“你的广告做的很到位！”公鸡听了，一边夸奖母鸡，一边去参观自己的胜利成果。这一看不打紧，公鸡气势凶凶地追母鸡，声称要修理它。问题是：公鸡为什么要追赶 答案：原来母鸡下了一个大鸭蛋. 
1045—5只鸡，5天生了5个蛋。100天内要100个蛋，需要多少只鸡？？ 答案：依然是五只鸡. 
